epoch,train_kl,train_loss,train_recon,val_kl,val_loss,val_recon
0,0.14868744990477958,0.6808651045516685,0.383490209447013,0.0012749946292708902,0.3273174815318164,0.32476748438442454
1,0.0012481084567736145,0.32949449684884813,0.3269982783882706,0.0010161478284691624,0.3242933767683366,0.3222610757631414
2,0.0007543080635110123,0.3271132829012694,0.325604666824694,0.0007265561452025876,0.32296647920328025,0.3215133688029121
3,0.000589002661096553,0.32633796245963487,0.32515995811533044,0.00040760009056505035,0.32218237308894887,0.32136717088082256
4,0.0003373631574774023,0.3255995412667592,0.3249248144803224,0.0003350152281414279,0.321543227223789,0.3208731973872465
5,0.00031216307974385997,0.32529922392633226,0.32467489772372776,0.00022871109574814052,0.3214992021813112,0.321041778606527
6,0.00020609535384681765,0.32508240739504496,0.3246702167722914,0.00023037669170127416,0.32123936274472403,0.32077861007522135
7,0.0001962609360580919,0.3249289009306166,0.32453638006139685,0.00014110256726031795,0.3213384361828075,0.321056232732885
8,0.00015168247218416245,0.32486604120996265,0.3245626774099138,0.00010372423703837044,0.3209453821182251,0.32073793691747327
9,0.00013510226692435229,0.3247485915819804,0.32447838694960984,0.00011852215410566286,0.32064032905242024,0.32040328663938183
10,0.00013304123023300673,0.32468442387051055,0.32441834145122106,0.00010976423030061757,0.32047685805489035,0.32025732713587146
11,0.00010059681371785701,0.32447030124840914,0.32426910753603333,0.00011572548058157896,0.321038214599385,0.3208067609983332
12,9.613361520071824e-05,0.3246130102210575,0.32442074285613165,0.0001167898260652745,0.32085325963356914,0.32061967954916115
13,8.076622390136536e-05,0.3244607201328984,0.3242991884549459,5.43689589796807e-05,0.3205300376695745,0.32042129951364856
14,7.345465581036277e-05,0.3244945916864607,0.32434768124862956,6.608199863181012e-05,0.32078373432159424,0.3206515715402715
15,6.522591057647433e-05,0.32436110575993854,0.3242306548136252,6.009468094870339e-05,0.3206566396881552,0.32053644867504344
16,5.967328551277104e-05,0.3243331178470894,0.3242137716876136,5.151279316016692e-05,0.3203984884654774,0.32029546359006095
17,6.168436332329831e-05,0.32430206537246703,0.3241786978862904,4.225100287037683e-05,0.32069606991375194,0.3206115663051605
18,5.085277360329336e-05,0.3242676865171503,0.32416597891736915,4.884817313081037e-05,0.32036186141126294,0.32026416764539833
19,4.6908858025239575e-05,0.3242609054953964,0.32416708756376195,3.859174424124991e-05,0.32032936285523805,0.3202521783464095
20,4.4686151172586336e-05,0.32417887780401444,0.32408950527509056,3.9296531052540936e-05,0.3203661073656643,0.3202875151353724
21,4.320998236330019e-05,0.3242009606626299,0.32411454055044386,4.776928300784408e-05,0.32033663812805624,0.32024110064787026
22,3.8437900689637495e-05,0.32423925156946537,0.3241623750439397,2.8155412163708688e-05,0.3204169115599464,0.32036059919525595
23,3.62595048500225e-05,0.32414871741224216,0.3240761986485234,3.561195979487178e-05,0.3203412329449373,0.32027001065366406
24,3.235597859774889e-05,0.3241013988300606,0.32403668628798593,3.590778493055361e-05,0.320482240003698,0.3204104269252104
25,3.152023224780957e-05,0.3241408195760515,0.32407777905464175,2.5120341781396692e-05,0.32011543827898364,0.3200652020819047
26,2.859472642066302e-05,0.3241362646774009,0.3240790753452866,2.6688604467541582e-05,0.3203488430556129,0.32029546183698315
27,2.6889962545182143e-05,0.3240954299767812,0.324041650030348,2.294545415412251e-05,0.32028749059228334,0.32024160202811747
28,2.6799856331544342e-05,0.3240486635102166,0.3239950645852972,2.3051449555650298e-05,0.32028027492411,0.32023416897829843
29,2.6329703245277483e-05,0.32407984490747804,0.32402718486609283,2.19934566249482e-05,0.3201557923765743,0.3201118041487301
30,2.3154819414399014e-05,0.32403829009444624,0.3239919830251623,1.9072188639684636e-05,0.32014085790690255,0.3201027126873241
31,2.1311288690884356e-05,0.32405043067755523,0.3240078076168343,1.6197074889051318e-05,0.32019037884824414,0.3201579854768865
32,1.8037049880216795e-05,0.3240607327885098,0.3240246596159758,1.4026470393325914e-05,0.32015584847506356,0.32012779747738557
33,1.5715209991429692e-05,0.3239840425826885,0.3239526117289508,1.2589883440609009e-05,0.3201305182541118,0.32010533704477195
34,1.5099231731491508e-05,0.32401355615368593,0.3239833575707895,1.2702614292399684e-05,0.3201180065379423,0.3200925991815679
35,1.4220406215086028e-05,0.3239676285673071,0.3239391883214315,1.1901156807760023e-05,0.32018347698099475,0.3201596754438737
36,1.2773004925326893e-05,0.32399832275178697,0.323972777084068,1.1346777147777817e-05,0.3201799568007974,0.3201572632088381
37,1.1585147391694288e-05,0.3239367187023163,0.3239135494938603,1.0010081389148527e-05,0.32007719664012685,0.32005717649179344
38,1.152258321073734e-05,0.3239312092463175,0.32390816432458386,1.0235765330435243e-05,0.320131556076162,0.32011108188068166
39,1.083553490591132e-05,0.32394301184901486,0.3239213407039642,9.453397631338757e-06,0.32010286695816936,0.32008396176730886
40,9.92289645148924e-06,0.3238928724218298,0.32387302782800464,8.688761119949905e-06,0.3200141419382656,0.3199967671843136
41,9.753131544803856e-06,0.3239411093570568,0.32392160340591714,8.209695565978217e-06,0.32003073306644664,0.3200143154929666
42,9.14021985846813e-06,0.3239072415563795,0.32388896147410073,7.757876199534889e-06,0.32007388157003064,0.3200583668316112
43,8.717956370674074e-06,0.3239084616855339,0.3238910255608735,7.282421473278459e-06,0.3200943434939665,0.32007977892370787
44,8.279997618282559e-06,0.32390599096262895,0.3238894305847309,7.137888908747461e-06,0.32006292308078094,0.32004864776835723
45,8.029911744718751e-06,0.3238866435156928,0.32387058469984265,6.882128004422959e-06,0.32007550492006187,0.32006173975327434
46,7.835363093936057e-06,0.3238623056146834,0.32384663577432987,6.624042083892752e-06,0.32005684516009164,0.3200435971512514
47,7.72222507900248e-06,0.3238723975640756,0.3238569524553087,6.639499641845332e-06,0.3200446472448461,0.3200313676806057
48,7.652970250799424e-06,0.3238822129037645,0.3238669068725021,6.50320616306785e-06,0.32003650069236755,0.3200234963613398
49,7.499623138250576e-06,0.3238941764390027,0.3238791772612819,6.497243061055676e-06,0.3201141287298763,0.32010113141115976
